,lower,median,upper
1983Q1,7.780559722404047,8.326118113602266,9.000176913837679
1983Q2,7.787139477404835,8.3124179974229,8.982800447117278
1983Q3,7.729350308249621,8.233001955157356,8.906207823106826
1983Q4,7.534492144018601,8.03675500464132,8.616549750353721
1984Q1,7.421845377452945,7.900288850807698,8.445622650161235
1984Q2,7.2859811097893985,7.7436962978748465,8.199150699275778
1984Q3,7.214046771437324,7.6458404806428515,8.059214552778519
1984Q4,7.191198521263182,7.6053245809609145,7.998255328099434
1985Q1,7.189983965053066,7.593797252230553,7.979345750988644
1985Q2,7.216727976589412,7.608817492371589,7.983163801891805
1985Q3,7.268837456076196,7.649827165882273,8.018446566055367
1985Q4,7.334521383477848,7.700143521676921,8.065502493829985
1986Q1,7.352472942398023,7.71357817651369,8.077368583921249
1986Q2,7.389299543023518,7.74556383606553,8.107223002733486
1986Q3,7.425103432331935,7.780777075042235,8.148921647203595
1986Q4,7.444175337877131,7.79840306304685,8.174559625867069
1987Q1,7.443576101142717,7.800848015089038,8.181424601825375
1987Q2,7.417833938194695,7.783809627917634,8.171539697462858
1987Q3,7.380079740247683,7.745496389787908,8.141173169069557
1987Q4,7.299517862342277,7.680819700810319,8.086346211728502
1988Q1,7.199258500235836,7.59756950821171,8.001772368066154
1988Q2,7.113704056805635,7.515341077974227,7.915914393452057
1988Q3,7.031236762115591,7.441541138808152,7.834884864363735
1988Q4,6.966527862097431,7.373078172250047,7.764109279050186
1989Q1,6.905950335379114,7.3057236706197655,7.692465812164028
1989Q2,6.840765411507764,7.240886860101033,7.621608933048868
1989Q3,6.790797117077403,7.183761320256337,7.557585234897402
1989Q4,6.693165344441676,7.100828408943299,7.473951284547567
1990Q1,6.624264589714806,7.045267405030597,7.429466383739832
1990Q2,6.534948577172748,6.993591650321978,7.401912130079836
1990Q3,6.40014610610659,6.936109073628063,7.388013984469314
1990Q4,4.972015469922827,5.881079246177723,7.003731911570321
1991Q1,4.352591272419726,5.343237549970018,6.369947682821399
1991Q2,3.928866097134356,4.944676561217315,5.817573226145559
1991Q3,3.5514906888539994,3.991035359231801,4.8599090197277395
1991Q4,3.480274796083036,3.8351828721616723,4.253293132361936
1992Q1,3.4435338123388637,3.7630038095982403,4.1133746604272226
1992Q2,3.396673260762464,3.693386908452541,4.002965063154273
1992Q3,3.365079184240195,3.647060903490414,3.9381114601727396
1992Q4,3.3278541182905537,3.6003331772556444,3.8740407423728347
1993Q1,3.2973516126068008,3.5580266000174596,3.8158549677152815
1993Q2,3.2862246964322135,3.537346028602731,3.7808379197077397
1993Q3,3.2914501141883927,3.5335516478509374,3.766706431812171
1993Q4,3.3110631674344755,3.547960293287409,3.7715907826214714
1994Q1,3.3588542845707132,3.585213204985424,3.796170143180158
1994Q2,3.4363919159778424,3.6332491596319594,3.8199339508907912
1994Q3,3.510577910913973,3.667153309799807,3.8260191696728767
1994Q4,3.552567629354077,3.709414131104394,3.874064260127425
1995Q1,3.4738707584211093,3.6746366064652767,3.884741455171607
1995Q2,3.373211241048814,3.5926317380930577,3.845215877188151
1995Q3,3.242805965819748,3.4166337912092164,3.5968995591569515
1995Q4,3.175191427098816,3.34488538006005,3.5167889550116667
1996Q1,3.1428736479054074,3.3300460361784925,3.51713070517752
1996Q2,3.117035397514688,3.298565033411153,3.4842682605386464
1996Q3,3.102848354232987,3.263345356056446,3.4255725667227903
1996Q4,3.054794635836224,3.2155232842314594,3.374367841347186
1997Q1,3.0453698739478865,3.231192462988003,3.412824247002138
